symbol,company_name,market,large_sector_id,census_status,assessment_depth,base_stage,investigation_status,transition_overlay,stage_confidence,score_valid_status,trigger_priority_score,verified_score,provisional_score,score_interval_lower,score_interval_upper,accepted_claim_count,score_contribution_count,recent_event_count,primary_archetype,failed_stage_gates,missing_primitives,provider_gaps,source_gaps,next_actions
000020,동화약품,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000040,KR모터스,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000050,경방,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000070,삼양홀딩스,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000080,하이트진로,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000100,유한양행,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000120,CJ대한통운,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000140,하이트진로홀딩스,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000150,두산,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000180,성창기업지주,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000210,DL,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000220,유유제약,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000230,일동홀딩스,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000240,한국앤컴퍼니,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000250,삼천당제약,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000270,기아,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000300,DH오토넥스,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000320,노루홀딩스,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000370,한화손해보험,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000390,SP삼화,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000400,롯데손해보험,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000430,대원강업,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000440,중앙에너비스,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000480,CR홀딩스,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000490,대동,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000500,가온전선,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000520,삼일제약,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000540,흥국화재,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000590,CS홀딩스,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000640,동아쏘시오홀딩스,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000650,천일고속,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000660,SK하이닉스,,메모리/HBM,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000670,영풍,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000680,LS네트웍스,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000700,유수홀딩스,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000720,현대건설,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000760,이화산업,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
000810,삼성화재,,,PENDING_PROVIDER,CHEAP_BASELINE,Unknown,PROVIDER_FAILED,NONE,INSUFFICIENT_EVIDENCE,PROVIDER_FAILED,0.0,,,,,0,0,0,,,,official_baseline_connector_unwired,,PROVIDER_WAIT|RECHECK_SOURCE
